lincs_cell_id	resolution_category	depmap_ach_id	matched_name_field	normalization_rule_used	dmso_phase_used	n_dmso_instances	notes
A375	direct_match_ccle	ACH-000219	StrippedCellLineName=A375	uppercase_strip_non_alphanumeric			matched via StrippedCellLineName raw='A375'
A549	direct_match_ccle	ACH-000681	StrippedCellLineName=A549	uppercase_strip_non_alphanumeric			matched via StrippedCellLineName raw='A549'
A673	direct_match_ccle	ACH-000052	StrippedCellLineName=A673	uppercase_strip_non_alphanumeric			matched via StrippedCellLineName raw='A673'
AGS	direct_match_ccle	ACH-000880	StrippedCellLineName=AGS	uppercase_strip_non_alphanumeric			matched via StrippedCellLineName raw='AGS'
ASC	lincs_dmso_fallback			ctl_vehicle_own_line	phase2	215	resolved via own-line ctl_vehicle
ASC.C	lincs_dmso_fallback			ctl_vehicle_own_line	phase2	214	resolved via own-line ctl_vehicle
BT20	direct_match_ccle	ACH-000536	StrippedCellLineName=BT20	uppercase_strip_non_alphanumeric			matched via StrippedCellLineName raw='BT20'
CD34	lincs_dmso_fallback			ctl_vehicle_own_line	phase2	214	resolved via own-line ctl_vehicle
CL34	direct_match_ccle	ACH-000895	StrippedCellLineName=CL34	uppercase_strip_non_alphanumeric			matched via StrippedCellLineName raw='CL34'
CORL23	direct_match_ccle	ACH-000662	StrippedCellLineName=CORL23	uppercase_strip_non_alphanumeric			matched via StrippedCellLineName raw='CORL23'
COV644	direct_match_ccle	ACH-000608	StrippedCellLineName=COV644	uppercase_strip_non_alphanumeric			matched via StrippedCellLineName raw='COV644'
DV90	direct_match_ccle	ACH-000925	StrippedCellLineName=DV90	uppercase_strip_non_alphanumeric			matched via StrippedCellLineName raw='DV90'
EFO27	direct_match_ccle	ACH-000936	StrippedCellLineName=EFO27	uppercase_strip_non_alphanumeric			matched via StrippedCellLineName raw='EFO27'
FIBRNPC	lincs_dmso_fallback			ctl_vehicle_own_line	phase1	100	resolved via own-line ctl_vehicle; phase2 fallback returned zero instances; phase1 fallback succeeded after phase2 returned zero instances
H1299	lincs_dmso_fallback			ctl_vehicle_own_line	phase1	18	resolved via own-line ctl_vehicle; phase2 fallback returned zero instances; phase1 fallback succeeded after phase2 returned zero instances
HA1E	direct_match_ccle	ACH-001310	StrippedCellLineName=HA1E	uppercase_strip_non_alphanumeric			matched via StrippedCellLineName raw='HA1E'
