gene_symbol	entrez_id	ccle_match_status	hgnc_locus_group	hgnc_id	secondary_source_available	notes
DDR1	780	matched_entrez			False	CCLE column DDR1 (780)
PAX8	7849	matched_entrez			False	CCLE column PAX8 (7849)
RPS5	6193	matched_entrez			False	CCLE column RPS5 (6193)
ABCF1	23	matched_entrez			False	CCLE column ABCF1 (23)
SPAG7	9552	matched_entrez			False	CCLE column SPAG7 (9552)
RHOA	387	matched_entrez			False	CCLE column RHOA (387)
RNPS1	10921	matched_entrez			False	CCLE column RNPS1 (10921)
SMNDC1	10285	matched_entrez			False	CCLE column SMNDC1 (10285)
ATP6V0B	533	matched_entrez			False	CCLE column ATP6V0B (533)
RPS6	6194	matched_entrez			False	CCLE column RPS6 (6194)
USP22	23326	matched_entrez			False	CCLE column USP22 (23326)
APP	351	matched_entrez			False	CCLE column APP (351)
CLTC	1213	matched_entrez			False	CCLE column CLTC (1213)
MLEC	9761	matched_entrez			False	CCLE column MLEC (9761)
CSRP1	1465	matched_entrez			False	CCLE column CSRP1 (1465)
CALM3	808	matched_entrez			False	CCLE column CALM3 (808)
PTPRF	5792	matched_entrez			False	CCLE column PTPRF (5792)
DNAJB1	3337	matched_entrez			False	CCLE column DNAJB1 (3337)
XBP1	7494	matched_entrez			False	CCLE column XBP1 (7494)
GRN	2896	matched_entrez			False	CCLE column GRN (2896)
HK1	3098	matched_entrez			False	CCLE column HK1 (3098)
KDELR2	11014	matched_entrez			False	CCLE column KDELR2 (11014)
SKP1	6500	matched_entrez			False	CCLE column SKP1 (6500)
CAPN1	823	matched_entrez			False	CCLE column CAPN1 (823)
CALU	813	matched_entrez			False	CCLE column CALU (813)
CTSD	1509	matched_entrez			False	CCLE column CTSD (1509)
MAT2A	4144	matched_entrez			False	CCLE column MAT2A (4144)
STMN1	3925	matched_entrez			False	CCLE column STMN1 (3925)
ECH1	1891	matched_entrez			False	CCLE column ECH1 (1891)
IQGAP1	8826	matched_entrez			False	CCLE column IQGAP1 (8826)
HSPA1A	3303	matched_entrez			False	CCLE column HSPA1A (3303)
HSPD1	3329	matched_entrez			False	CCLE column HSPD1 (3329)
CIRBP	1153	matched_entrez			False	CCLE column CIRBP (1153)
PSME1	5720	matched_entrez			False	CCLE column PSME1 (5720)
PAFAH1B1	5048	matched_entrez			False	CCLE column PAFAH1B1 (5048)
HYOU1	10525	matched_entrez			False	CCLE column HYOU1 (10525)
PSMD2	5708	matched_entrez			False	CCLE column PSMD2 (5708)
EPRS	2058	matched_entrez			False	CCLE column EPRS1 (2058)
PSMD4	5710	matched_entrez			False	CCLE column PSMD4 (5710)
PGAM1	5223	matched_entrez			False	CCLE column PGAM1 (5223)
STAT1	6772	matched_entrez			False	CCLE column STAT1 (6772)
FKBP4	2288	matched_entrez			False	CCLE column FKBP4 (2288)
KTN1	3895	matched_entrez			False	CCLE column KTN1 (3895)
TMED10	10972	matched_entrez			False	CCLE column TMED10 (10972)
ALDOA	226	matched_entrez			False	CCLE column ALDOA (226)
TSPAN3	10099	matched_entrez			False	CCLE column TSPAN3 (10099)
GNAS	2778	matched_entrez			False	CCLE column GNAS (2778)
HIF1A	3091	matched_entrez			False	CCLE column HIF1A (3091)
AARS	16	matched_entrez			False	CCLE column AARS1 (16)
RPN1	6184	matched_entrez			False	CCLE column RPN1 (6184)
PAICS	10606	matched_entrez			False	CCLE column PAICS (10606)
BLCAP	10904	matched_entrez			False	CCLE column BLCAP (10904)
HADH	3033	matched_entrez			False	CCLE column HADH (3033)
GNAI2	2771	matched_entrez			False	CCLE column GNAI2 (2771)
PSMF1	9491	matched_entrez			False	CCLE column PSMF1 (9491)
MYL9	10398	matched_entrez			False	CCLE column MYL9 (10398)
MMP2	4313	matched_entrez			False	CCLE column MMP2 (4313)
SMARCC1	6599	matched_entrez			False	CCLE column SMARCC1 (6599)
TM9SF2	9375	matched_entrez			False	CCLE column TM9SF2 (9375)
PIP4K2B	8396	matched_entrez			False	CCLE column PIP4K2B (8396)
PXN	5829	matched_entrez			False	CCLE column PXN (5829)
COPB2	9276	matched_entrez			False	CCLE column COPB2 (9276)
PFKL	5211	matched_entrez			False	CCLE column PFKL (5211)
PGRMC1	10857	matched_entrez			False	CCLE column PGRMC1 (10857)
ITGB5	3693	matched_entrez			False	CCLE column ITGB5 (3693)
PLP2	5355	matched_entrez			False	CCLE column PLP2 (5355)
NFE2L2	4780	matched_entrez			False	CCLE column NFE2L2 (4780)
MBNL1	4154	matched_entrez			False	CCLE column MBNL1 (4154)
NMT1	4836	matched_entrez			False	CCLE column NMT1 (4836)
BHLHE40	8553	matched_entrez			False	CCLE column BHLHE40 (8553)
TERF2IP	54386	matched_entrez			False	CCLE column TERF2IP (54386)
FBXO7	25793	matched_entrez			False	CCLE column FBXO7 (25793)
HTRA1	5654	matched_entrez			False	CCLE column HTRA1 (5654)
LRPAP1	4043	matched_entrez			False	CCLE column LRPAP1 (4043)
CREG1	8804	matched_entrez			False	CCLE column CREG1 (8804)
PCNA	5111	matched_entrez			False	CCLE column PCNA (5111)
LGMN	5641	matched_entrez			False	CCLE column LGMN (5641)
ILK	3611	matched_entrez			False	CCLE column ILK (3611)
ATP1B1	481	matched_entrez			False	CCLE column ATP1B1 (481)
SYPL1	6856	matched_entrez			False	CCLE column SYPL1 (6856)
TXNRD1	7296	matched_entrez			False	CCLE column TXNRD1 (7296)
NUDCD3	23386	matched_entrez			False	CCLE column NUDCD3 (23386)
TOP2A	7153	matched_entrez			False	CCLE column TOP2A (7153)
STK25	10494	matched_entrez			False	CCLE column STK25 (10494)
EBNA1BP2	10969	matched_entrez			False	CCLE column EBNA1BP2 (10969)
ARHGEF12	23365	matched_entrez			False	CCLE column ARHGEF12 (23365)
SCP2	6342	matched_entrez			False	CCLE column SCP2 (6342)
YME1L1	10730	matched_entrez			False	CCLE column YME1L1 (10730)
TMEM109	79073	matched_entrez			False	CCLE column TMEM109 (79073)
TPD52L2	7165	matched_entrez			False	CCLE column TPD52L2 (7165)
CRTAP	10491	matched_entrez			False	CCLE column CRTAP (10491)
TRAP1	10131	matched_entrez			False	CCLE column TRAP1 (10131)
IGF2R	3482	matched_entrez			False	CCLE column IGF2R (3482)
PHGDH	26227	matched_entrez			False	CCLE column PHGDH (26227)
LRP10	26020	matched_entrez			False	CCLE column LRP10 (26020)
SOX4	6659	matched_entrez			False	CCLE column SOX4 (6659)
CAT	847	matched_entrez			False	CCLE column CAT (847)
RHEB	6009	matched_entrez			False	CCLE column RHEB (6009)
