pert_id	pert_iname	n_sigs	canonical_smiles
BRD-A00100033	nifurtimox	19	CC1CS(=O)(=O)CCN1N=Cc1ccc(o1)[N+]([O-])=O
BRD-A00147595	balaglitazone	42	Cn1c(COc2ccc(CC3SC(=O)NC3=O)cc2)nc2ccccc2c1=O
BRD-A00150179	5-hydroxytryptophan	6	NC(Cc1c[nH]c2cccc(O)c12)C(O)=O
BRD-A00218260	flutrimazole	42	Fc1ccc(cc1)C(c1ccccc1)(c1ccccc1F)n1ccnc1
BRD-A00267231	hemado	19	CCCCC#Cc1nc(NC)c2ncn(C3OC(CO)C(O)C3O)c2n1
BRD-A00376169	KBG	42	OC1O[C@@H]2COC(O[C@H]2[C@H](O)[C@H]1O)c1ccccc1
BRD-A00420644	SA-3676	24	CCN1C2C(C(=NC2Nc3ccccc13)OC)c4ccccc4
BRD-A00474148	BRD-A00474148	13	Oc1ccc(cc1)N1CCN(CC1)[S+]([O-])(=O)c1ccc2NC(=O)Cc2c1
BRD-A00520476	AF-DX-116	11	CCN(CC)CC1CCCCN1CC(=O)N1c2ccccc2C(=O)Nc2cccnc12
BRD-A00546892	biperiden	65	OC(CCN1CCCCC1)(C1CC2CC1C=C2)c1ccccc1
BRD-A00626522	BRD-A00626522	12	COc1ccc(cc1)C(CC(=O)N2CCCC(C)C2)c3c(O)cc(OC)cc3OC
BRD-A00758722	noretynodrel	19	C[C@]12CCC3C(CCC4=C3CCC(=O)C4)C1CC[C@@]2(O)C#C
BRD-A00763758	BRD-A00763758	6	COc1cc(ccc1O)C(O)C(C)N
BRD-A00827783	dyphylline	19	Cn1c2ncn(CC(O)CO)c2c(=O)n(C)c1=O
BRD-A00938334	drospirenone	42	C[C@]12CCC3C([C@H]4C[C@H]4C4=CC(=O)CC[C@]34C)C1[C@@H]1C[C@@H]1[C@@]21CCC(=O)O1
BRD-A00993607	alprenolol	26	CC(C)NCC(O)COc1ccccc1CC=C
BRD-A01078468	hexestrol	4	CCC(C(CC)c1ccc(O)cc1)c1ccc(O)cc1
BRD-A01145011	zebularine	95	OC[C@H]1O[C@H](C(O)[C@H]1O)n1cccnc1=O
BRD-A01295252	7-hydroxy-PIPAT	25	CCCN(C\C=C\I)C1CCc2ccc(O)cc2C1
BRD-A01317026	7,8-dihydro-L-biopterin	18	CC(O)[C@H](O)C1=Nc2c(NC1)nc(N)[nH]c2=O
BRD-A01320529	salmeterol	36	OCc1cc(ccc1O)C(O)CNCCCCCCOCCCCc1ccccc1
BRD-A01346607	flumetasone	19	C[C@@H]1CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
BRD-A01593789	chlormadinone-acetate	23	CC(=O)O[C@@]1(CCC2C3C=C(Cl)C4=CC(=O)CC[C@]4(C)C3CC[C@@]21C)C(=O)C
BRD-A01636364	bupivacaine	45	CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C
BRD-A01643550	prednisolone-acetate	23	CC(=O)OCC(=O)[C@@]1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3[C@@H](O)C[C@]12C
BRD-A01645196	garcinol	113	CC(=CC[C@@H](C[C@]12C[C@H](C([C@](C1=O)(C(=O)C(=C(C3=CC(=C(C=C3)O)O)O)C2=O)CC=C(C)C)(C)C)C=C(C)C)C(=C)C)C
BRD-A01787639	naftopidil	57	COc1ccccc1N1CCN(CC(O)COc2cccc3ccccc23)CC1
BRD-A01826957	xanthinol	13	CN(CCO)CC(O)Cn1cnc2n(C)c(=O)n(C)c(=O)c12
BRD-A01960364	BRD-A01960364	17	COc1ccc(cc1)C2C(C(=O)O)c3ccccc3C(=O)N2Cc4ccc(Cl)cc4
BRD-A01973626	BRD-A01973626	13	CCC(=O)NC(c1ccco1)c1cc(Br)c2cccnc2c1O
BRD-A01999384	BRD-A01999384	12	COc1ccc(cc1OC2CCOC2)C3=Nn4c(nnc4SC3)c5ccccc5C(F)(F)F
BRD-A02006392	nitrendipine	134	CCOC(=O)C1=C(C)NC(C)=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OC
BRD-A02176148	tubaic-acid	19	CC(=C)C1Cc2c(O1)ccc(C(=O)O)c2O
BRD-A02180903	betamethasone	23	C[C@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
BRD-A02189320	met-leu-phe	15	CSCCC(N)C(=O)NC(CC(C)C)C(=O)NC(Cc1ccccc1)C(=O)O
BRD-A02198599	EMF-sumo1-9	18	CC1CC(C)(C)N2C(=O)C3(Nc4ccccc4S3)c5cccc1c25
BRD-A02241946	BRD-A02241946	15	CC(O)c1cc2n(C)c3c(=O)n(Cc4ccccc4F)ncc3c2s1
BRD-A02333338	cyclopamine	17	CC1C2NC[C@@H](C)C[C@H]2O[C@@]31CC[C@H]4[C@@H]5CC=C6C[C@@H](O)CC[C@]6(C)[C@H]5CC4=C3C
BRD-A02367930	ethinyl-estradiol	57	C[C@]12CCC3C(CCc4cc(O)ccc34)C1CC[C@@]2(O)C#C
BRD-A02481876	importazole	93	CC(Nc1nc(nc2ccccc12)N3CCCC3)c4ccccc4
BRD-A02579693	etoposide	3	COc1cc(cc(OC)c1O)C1C2C(COC2=O)C(OC2OC3COC(C)OC3C(O)C2O)C2C1=CC1=C2OCO1
BRD-A02710418	meptazinol	65	CCC1(CCCCN(C)C1)c1cccc(O)c1
BRD-A02713983	dihydrodeoxygedunin	15	CC(=O)O[C@@H]1CC2C(C)(C)C(=O)CC[C@]2(C)C3CC[C@@]4(C)[C@@H](OC(=O)C=C4[C@]13C)c5ccoc5
BRD-A02726762	BRD-A02726762	3	COc1ccc(cc1)C#Cc1ccc2N(C)[C@@H](CO)[C@@H]3CCN([C@@H]3c2c1)S(=O)(=O)C1=NC(C)C=N1
BRD-A02747686	BRD-A02747686	15	CNC(C)C(=O)NC(C(C)C)C(=O)NC(C)C(=O)NNc1ccccc1
BRD-A02759312	betaxolol	33	CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1
BRD-A02809788	ARG-TC-41	26	COc1ccc(cc1OC)C(=O)C2CCCN(CCc3ccccc3)C2
BRD-A02836799	BRD-A02836799	8	OCCOc1ccccc1C1N2C(C(C(=O)N3CCCCCCC3)C11C(=O)Nc3ccccc13)C(=O)OC(C2c1ccccc1)c1ccccc1
BRD-A02990301	lofexidine	59	CC(Oc1c(Cl)cccc1Cl)C1=NCCN1
BRD-A03044413	micropenin	11	Cc1onc(c1C(=O)NC1C2SC(C)(C)C(N2C1=O)C(O)=O)-c1ccccc1
BRD-A03061970	alizapride	46	COc1cc2[nH]nnc2cc1C(=O)NCC1CCCN1CC=C
BRD-A03216249	mepivacaine	59	CN1CCCCC1C(=O)Nc1c(C)cccc1C
BRD-A03249105	fulvestrant	42	C[C@]12CC[C@H]3C([C@@H]1CC[C@@H]2O)[C@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)Cc1cc(O)ccc31
BRD-A03323675	ritonavir	11	CC(C)C(NC(=O)N(C)Cc1csc(n1)C(C)C)C(=O)NC(CC(O)C(Cc1ccccc1)NC(=O)OCc1cncs1)Cc1ccccc1
BRD-A03359064	ICI-89406	19	OC(CNCCNC(=O)Nc1ccccc1)COc1ccccc1C#N
BRD-A03427350	sulindac	19	CC1=C(CC(=O)O)c2cc(F)ccc2C1=Cc3ccc(cc3)S(=O)C
BRD-A03436432	BRD-A03436432	12	COc1cccc(c1)S(=O)(=O)NC2CCN(C2)C#N
BRD-A03506276	XL-888	42	CC[C@@H](C)Nc1cc(C(=O)NC2CC3CCC(C2)N3c2ccc(cn2)C(=O)C2CC2)c(C)cc1C(N)=O
BRD-A03520402	ST-014366	13	CC(C)c1ccc(cc1)C2C3CN(C)CC=C3C(C#N)(C#N)C(=C2C#N)N
BRD-A03623303	metoprolol	61	COCCc1ccc(OCC(O)CNC(C)C)cc1
BRD-A03684405	BRD-A03684405	2	O=C1[C@H](Cc2ccccc2)CCn2cc(COCC3CCCN13)nn2
BRD-A03772856	BRD-A03772856	28	COc1ccccc1C2N(C(=O)C3CCCN23)c4ccc(Cl)cc4
BRD-A03816571	CP-55940	19	CCCCCCC(C)(C)c1ccc(C2CC(O)CCC2CCCO)c(O)c1
BRD-A03926027	ST-014147	13	NC1=C(C#N)C(c2ccc(Br)cc2)c3c(N1)c4ccccc4oc3=O
BRD-A03946276	BRD-A03946276	18	[O-][N+](=O)c1ccc2NC(=O)C3(NNc4ccccc4O3)c2c1
BRD-A04020513	l-buthionine-sulfoximine	54	CCCCS(=N)(=O)CCC(N)C(=O)O
BRD-A04026261	YO-2	15	CCCCCCCCNC(=O)C(Cc1ccc(OCc2ccncc2)cc1)NC(=O)C3CCC(CN)CC3
BRD-A04172077	BRD-A04172077	17	COc1ccc2ccc(=O)oc2c1CC(O)C(C)(C)OC
BRD-A04260165	SKF-83959	6	CN1CCc2c(Cl)c(O)c(O)cc2C(C1)c3cccc(C)c3
BRD-A04308630	genipin	11	COC(=O)C1=COC(O)C2C1CC=C2CO
BRD-A04327189	synephrine	17	CNCC(O)c1ccc(O)cc1
BRD-A04332542	BRD-A04332542	6	CC(=O)NCC(O)c1ccc(O)cc1
BRD-A04352665	maraviroc	101	CC(C)c1nnc(C)n1C1CC2CCC(C1)N2CC[C@H](NC(=O)C1CCC(F)(F)CC1)c1ccccc1
BRD-A04392722	BRD-A04392722	12	CC(C)(C)OC(=O)NCC(=O)NNC(=O)C(C(=O)OCc1ccccc1)c2ccccc2
BRD-A04438777	SKF-82958	6	Oc1cc2C(CN(CC=C)CCc2c(Cl)c1O)c3ccccc3
BRD-A04553218	chlorphenamine	79	CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1
BRD-A04668240	CGP-52432	19	CCOC(OCC)P(=O)(O)CCCNCc1ccc(Cl)c(Cl)c1
BRD-A04706586	bucladesine	86	CCCC(=O)Nc1ncnc2n(cnc12)C3OC4COP(=O)(O)OC4C3OC(=O)CCC
BRD-A04756508	norgestimate	23	CC[C@]12CCC3C(CCC4=C\C(CCC34)=N\O)C1CC[C@@]2(OC(C)=O)C#C
