pert_id	pert_iname	molecule_chembl_id	parent_chembl_id	target_chembl_id	uniprot	gene_symbol	entrez	target_type	organism	action_type	direct_interaction	is_landmark	mechanism_of_action
BRD-A42571354	cetirizine	CHEMBL1000	CHEMBL1000	CHEMBL231	P35367	HRH1		SINGLE PROTEIN	Homo sapiens	ANTAGONIST	1	0	Histamine H1 receptor antagonist
BRD-A44008656	doxylamine	CHEMBL1004	CHEMBL1004	CHEMBL231	P35367	HRH1		SINGLE PROTEIN	Homo sapiens	ANTAGONIST	1	0	Histamine H1 receptor antagonist
BRD-A65671304	candesartan-cilextil	CHEMBL1014	CHEMBL1014	CHEMBL227	P30556	AGTR1		SINGLE PROTEIN	Homo sapiens	ANTAGONIST	1	0	Type-1 angiotensin II receptor antagonist
BRD-K73999723	telmisartan	CHEMBL1017	CHEMBL1017	CHEMBL227	P30556	AGTR1		SINGLE PROTEIN	Homo sapiens	ANTAGONIST	1	0	Type-1 angiotensin II receptor antagonist
BRD-K34730807	levodopa	CHEMBL1009	CHEMBL1009	CHEMBL234	P35462	DRD3		SINGLE PROTEIN	Homo sapiens	AGONIST	1	0	Dopamine D3 receptor agonist
BRD-K77175907	calcifediol	CHEMBL1040	CHEMBL1040	CHEMBL1977	P11473	VDR		SINGLE PROTEIN	Homo sapiens	AGONIST	1	0	Vitamin D receptor agonist
BRD-K33251802	miglustat	CHEMBL1029	CHEMBL1029	CHEMBL2063	Q16739	UGCG		SINGLE PROTEIN	Homo sapiens	INHIBITOR	1	0	Ceramide glucosyltransferase inhibitor
BRD-K95309561	dienestrol	CHEMBL1018	CHEMBL1018	CHEMBL206	P03372	ESR1		SINGLE PROTEIN	Homo sapiens	AGONIST	1	0	Estrogen receptor alpha agonist
BRD-A14262390	guanadrel	CHEMBL1037	CHEMBL1037	CHEMBL222	P23975	SLC6A2		SINGLE PROTEIN	Homo sapiens	SUBSTRATE	1	0	Norepinephrine transporter substrate
BRD-K64994968	progesterone	CHEMBL103	CHEMBL103	CHEMBL208	P06401	PGR		SINGLE PROTEIN	Homo sapiens	AGONIST	1	0	Progesterone receptor agonist
BRD-K04112579	nepafenac	CHEMBL1021	CHEMBL1021	CHEMBL2094253	P35354	PTGS2	5743	PROTEIN FAMILY	Homo sapiens	INHIBITOR	1	1	Cyclooxygenase inhibitor
