pert_id	inchikey	block1
BRD-A00100033	ARFHIAQFJWUCFH-UHFFFAOYSA-N	ARFHIAQFJWUCFH
BRD-A00147595	IETKPTYAGKZLKY-UHFFFAOYSA-N	IETKPTYAGKZLKY
BRD-A00150179	QSHLMQDRPXXYEE-UHFFFAOYSA-N	QSHLMQDRPXXYEE
BRD-A00218260	QHMWCHQXCUNUAK-UHFFFAOYSA-N	QHMWCHQXCUNUAK
BRD-A00267231	KOCIMZNSNPOGOP-UHFFFAOYSA-N	KOCIMZNSNPOGOP
BRD-A00376169	FOLRUCXBTYDAQK-SFZUHQLGSA-N	FOLRUCXBTYDAQK
BRD-A00420644	ASCBUEVCEVGOFP-UHFFFAOYSA-N	ASCBUEVCEVGOFP
BRD-A00474148	RCGAUPRLRFZAMS-UHFFFAOYSA-N	RCGAUPRLRFZAMS
BRD-A00520476	UBRKDAVQCKZSPO-UHFFFAOYSA-N	UBRKDAVQCKZSPO
BRD-A00546892	YSXKPIUOCJLQIE-UHFFFAOYSA-N	YSXKPIUOCJLQIE
BRD-A00626522	JESWDHXLYTYZAC-UHFFFAOYSA-N	JESWDHXLYTYZAC
BRD-A00758722	ICTXHFFSOAJUMG-OQPPHWFISA-N	ICTXHFFSOAJUMG
BRD-A00763758	MASIPYZIHWNUPA-UHFFFAOYSA-N	MASIPYZIHWNUPA
BRD-A00827783	KSCFJBIXMNOVSH-UHFFFAOYSA-N	KSCFJBIXMNOVSH
BRD-A00938334	METQSPRSQINEEU-GGORKCOASA-N	METQSPRSQINEEU
BRD-A00993607	PAZJSJFMUHDSTF-UHFFFAOYSA-N	PAZJSJFMUHDSTF
BRD-A01078468	PBBGSZCBWVPOOL-UHFFFAOYSA-N	PBBGSZCBWVPOOL
BRD-A01145011	RPQZTTQVRYEKCR-JJFBUQMESA-N	RPQZTTQVRYEKCR
BRD-A01295252	RTMIJLQPWFKAFE-FPYGCLRLSA-N	RTMIJLQPWFKAFE
BRD-A01317026	FEMXZDUTFRTWPE-YRAGUDHZSA-N	FEMXZDUTFRTWPE
BRD-A01320529	GIIZNNXWQWCKIB-UHFFFAOYSA-N	GIIZNNXWQWCKIB
BRD-A01346607	WXURHACBFYSXBI-DRBBXQFKSA-N	WXURHACBFYSXBI
BRD-A01593789	QMBJSIBWORFWQT-GDMUWPLKSA-N	QMBJSIBWORFWQT
BRD-A01636364	LEBVLXFERQHONN-UHFFFAOYSA-N	LEBVLXFERQHONN
BRD-A01643550	LRJOMUJRLNCICJ-AUGMLKDDSA-N	LRJOMUJRLNCICJ
BRD-A01645196	QKACJXUOZWIRSN-RSNVXJODSA-N	QKACJXUOZWIRSN
BRD-A01787639	HRRBJVNMSRJFHQ-UHFFFAOYSA-N	HRRBJVNMSRJFHQ
BRD-A01826957	DSFGXPJYDCSWTA-UHFFFAOYSA-N	DSFGXPJYDCSWTA
BRD-A01960364	WJQMZXHQQRBUBD-UHFFFAOYSA-N	WJQMZXHQQRBUBD
BRD-A01973626	FSKZSCFSPFWKPI-UHFFFAOYSA-N	FSKZSCFSPFWKPI
BRD-A01999384	CLVUZWSRQXKIEX-UHFFFAOYSA-N	CLVUZWSRQXKIEX
BRD-A02006392	PVHUJELLJLJGLN-UHFFFAOYSA-N	PVHUJELLJLJGLN
BRD-A02176148	CMXGHLJKXLIMAQ-UHFFFAOYSA-N	CMXGHLJKXLIMAQ
BRD-A02180903	UREBDLICKHMUKA-REKGUKDCSA-N	UREBDLICKHMUKA
BRD-A02189320	CHDYFPCQVUOJEB-UHFFFAOYSA-N	CHDYFPCQVUOJEB
BRD-A02198599	BFQJGJYTDOYXDQ-UHFFFAOYSA-N	BFQJGJYTDOYXDQ
BRD-A02241946	JSCKNKLLUFQKEX-UHFFFAOYSA-N	JSCKNKLLUFQKEX
BRD-A02333338	QASFUMOKHFSJGL-ACLNMQFHSA-N	QASFUMOKHFSJGL
BRD-A02367930	BFPYWIDHMRZLRN-OQPPHWFISA-N	BFPYWIDHMRZLRN
BRD-A02481876	HKGJEZIGDHFJFL-UHFFFAOYSA-N	HKGJEZIGDHFJFL
BRD-A02579693	DOXHGVQIEQIIIV-UHFFFAOYSA-N	DOXHGVQIEQIIIV
BRD-A02710418	JLICHNCFTLFZJN-UHFFFAOYSA-N	JLICHNCFTLFZJN
BRD-A02713983	QDBAUJQKYJXHPB-OMRKLITNSA-N	QDBAUJQKYJXHPB
BRD-A02726762	JIACUDNUQKRFPQ-JDHTZGSBSA-N	JIACUDNUQKRFPQ
BRD-A02747686	MDQJPRMMNJMTSA-UHFFFAOYSA-N	MDQJPRMMNJMTSA
BRD-A02759312	NWIUTZDMDHAVTP-UHFFFAOYSA-N	NWIUTZDMDHAVTP
BRD-A02809788	OSQKAQCOFUNQAK-UHFFFAOYSA-N	OSQKAQCOFUNQAK
BRD-A02836799	LSRJNHYGURTKLY-UHFFFAOYSA-N	LSRJNHYGURTKLY
BRD-A02990301	KSMAGQUYOIHWFS-UHFFFAOYSA-N	KSMAGQUYOIHWFS
