pert_id	pert_iname	gene_symbol	entrez	gene_idx	chembl	chembl_actions	chembl_direct	stitch_score	evidence
BRD-A00100033	nifurtimox	JUN	3725	100	0		0	256	stitch
BRD-A00100033	nifurtimox	CREB1	1385	454	0		0	235	stitch
BRD-A00100033	nifurtimox	NSDHL	50814	801	0		0	208	stitch
BRD-A00100033	nifurtimox	DNAJC15	29103	879	0		0	200	stitch
BRD-A00100033	nifurtimox	TERT	7015	574	0		0	197	stitch
BRD-A00100033	nifurtimox	BACE2	25825	830	0		0	192	stitch
BRD-A00100033	nifurtimox	CTSD	1509	25	0		0	192	stitch
BRD-A00100033	nifurtimox	KAT6A	7994	228	0		0	186	stitch
BRD-A00100033	nifurtimox	KAT6B	23522	734	0		0	186	stitch
BRD-A00100033	nifurtimox	HPRT1	3251	300	0		0	181	stitch
BRD-A00100033	nifurtimox	SLC2A6	11182	938	0		0	171	stitch
BRD-A00100033	nifurtimox	FYN	2534	686	0		0	166	stitch
BRD-A00100033	nifurtimox	TBPL1	9519	596	0		0	159	stitch
BRD-A00100033	nifurtimox	DECR1	1666	233	0		0	153	stitch
BRD-A00100033	nifurtimox	PLP2	5355	65	0		0	151	stitch
BRD-A00147595	balaglitazone	PPARG	5468	600	1	PARTIAL AGONIST	1		chembl
BRD-A00474148	BRD-A00474148	GAA	2548	295	0		0	246	stitch
BRD-A00827783	dyphylline	PFKL	5211	62	0		0	193	stitch
BRD-A00827783	dyphylline	PPIE	10450	239	0		0	179	stitch
BRD-A01078468	hexestrol	BAMBI	25805	370	0		0	302	stitch
BRD-A01078468	hexestrol	HMGCR	3156	244	0		0	240	stitch
BRD-A01295252	7-hydroxy-PIPAT	TBXA2R	6915	970	0		0	259	stitch
BRD-A01295252	7-hydroxy-PIPAT	ADRB2	154	553	0		0	259	stitch
BRD-A01295252	7-hydroxy-PIPAT	CXCR4	7852	710	0		0	259	stitch
BRD-A01320529	salmeterol	ADRB2	154	553	1	AGONIST	1	999	chembl+stitch_high
BRD-A01320529	salmeterol	NR3C1	2908	807	0		0	936	stitch_high
BRD-A01320529	salmeterol	TBXA2R	6915	970	0		0	311	stitch
BRD-A01320529	salmeterol	CXCR4	7852	710	0		0	311	stitch
BRD-A01320529	salmeterol	GNB5	10681	436	0		0	293	stitch
BRD-A01320529	salmeterol	LAMA3	3909	420	0		0	236	stitch
BRD-A01320529	salmeterol	NFATC4	4776	543	0		0	192	stitch
BRD-A01320529	salmeterol	NFATC3	4775	577	0		0	173	stitch
BRD-A01320529	salmeterol	ALDH7A1	501	625	0		0	153	stitch
BRD-A01636364	bupivacaine	PRKACA	5566	292	0		0	732	stitch_high
BRD-A01636364	bupivacaine	PRKX	5613	440	0		0	646	stitch
BRD-A01636364	bupivacaine	SPP1	6696	681	0		0	259	stitch
BRD-A01636364	bupivacaine	SH3BP5	9467	149	0		0	186	stitch
BRD-A01636364	bupivacaine	NOS3	4846	536	0		0	167	stitch
BRD-A01636364	bupivacaine	PPARD	5467	973	0		0	164	stitch
BRD-A01636364	bupivacaine	AKR7A2	8574	793	0		0	164	stitch
BRD-A01636364	bupivacaine	DNAJC15	29103	879	0		0	158	stitch
BRD-A01636364	bupivacaine	ATP11B	23200	737	0		0	156	stitch
BRD-A01636364	bupivacaine	KCNK1	3775	477	0		0	155	stitch
BRD-A01636364	bupivacaine	CASP3	836	284	0		0	150	stitch
BRD-A01636364	bupivacaine	PTGS2	5743	482	0		0	150	stitch
BRD-A01787639	naftopidil	ADRB2	154	553	0		0	196	stitch
BRD-A01787639	naftopidil	MYBL2	4605	135	0		0	150	stitch
BRD-A03216249	mepivacaine	KCNK1	3775	477	0		0	209	stitch
BRD-A03216249	mepivacaine	DPH2	1802	464	0		0	183	stitch
BRD-A03323675	ritonavir	SCARB1	949	151	0		0	862	stitch_high
BRD-A03323675	ritonavir	PPARG	5468	600	0		0	824	stitch_high
BRD-A03323675	ritonavir	NFKBIA	4792	105	0		0	739	stitch_high
BRD-A03323675	ritonavir	CASP3	836	284	0		0	700	stitch_high
BRD-A03323675	ritonavir	STAT3	6774	626	0		0	700	stitch_high
BRD-A03323675	ritonavir	PARP1	142	605	0		0	700	stitch_high
BRD-A03323675	ritonavir	RB1	5925	341	0		0	700	stitch_high
BRD-A03323675	ritonavir	CDK6	1021	570	0		0	314	stitch
BRD-A03323675	ritonavir	CDK4	1019	209	0		0	314	stitch
BRD-A03323675	ritonavir	NOS3	4846	536	0		0	256	stitch
BRD-A03323675	ritonavir	TLR4	7099	944	0		0	255	stitch
BRD-A03323675	ritonavir	CXCR4	7852	710	0		0	245	stitch
BRD-A03323675	ritonavir	CDK2	1017	450	0		0	241	stitch
BRD-A03323675	ritonavir	CCND1	595	610	0		0	219	stitch
BRD-A03323675	ritonavir	BECN1	8678	624	0		0	213	stitch
BRD-A03323675	ritonavir	AURKA	6790	443	0		0	178	stitch
BRD-A03323675	ritonavir	FBXO11	80204	919	0		0	168	stitch
BRD-A03323675	ritonavir	NFKBIB	4793	790	0		0	155	stitch
BRD-A03323675	ritonavir	ANKRD10	55608	854	0		0	155	stitch
BRD-A03323675	ritonavir	NFKB2	4791	580	0		0	155	stitch
BRD-A03323675	ritonavir	NFKBIE	4794	432	0		0	155	stitch
BRD-A03323675	ritonavir	CCNB1	891	798	0		0	150	stitch
BRD-A03323675	ritonavir	CDKN1B	1027	637	0		0	150	stitch
BRD-A03323675	ritonavir	E2F2	1870	569	0		0	150	stitch
BRD-A03323675	ritonavir	CCL2	6347	809	0		0	150	stitch
BRD-A03323675	ritonavir	HMOX1	3162	413	0		0	150	stitch
BRD-A03323675	ritonavir	TP53	7157	139	0		0	150	stitch
BRD-A03323675	ritonavir	JUN	3725	100	0		0	150	stitch
BRD-A03323675	ritonavir	BIRC5	332	187	0		0	150	stitch
BRD-A03323675	ritonavir	FOS	2353	642	0		0	150	stitch
BRD-A03359064	ICI-89406	ADRB2	154	553	0		0	877	stitch_high
BRD-A04020513	l-buthionine-sulfoximine	CASP3	836	284	0		0	828	stitch_high
BRD-A04020513	l-buthionine-sulfoximine	FOS	2353	642	0		0	800	stitch_high
BRD-A04020513	l-buthionine-sulfoximine	BAX	581	599	0		0	800	stitch_high
BRD-A04020513	l-buthionine-sulfoximine	STAT3	6774	626	0		0	786	stitch_high
BRD-A04020513	l-buthionine-sulfoximine	JUN	3725	100	0		0	733	stitch_high
BRD-A04020513	l-buthionine-sulfoximine	STAT1	6772	40	0		0	665	stitch
BRD-A04020513	l-buthionine-sulfoximine	CAT	847	96	0		0	540	stitch
BRD-A04020513	l-buthionine-sulfoximine	STAT5B	6777	501	0		0	450	stitch
BRD-A04020513	l-buthionine-sulfoximine	TXNRD1	7296	80	0		0	432	stitch
BRD-A04020513	l-buthionine-sulfoximine	DECR1	1666	233	0		0	307	stitch
BRD-A04020513	l-buthionine-sulfoximine	NUP88	4927	308	0		0	234	stitch
BRD-A04020513	l-buthionine-sulfoximine	PRKCD	5580	245	0		0	233	stitch
BRD-A04020513	l-buthionine-sulfoximine	NR3C1	2908	807	0		0	231	stitch
BRD-A04020513	l-buthionine-sulfoximine	TP53	7157	139	0		0	229	stitch
BRD-A04020513	l-buthionine-sulfoximine	DLD	1738	634	0		0	217	stitch
BRD-A04020513	l-buthionine-sulfoximine	HMOX1	3162	413	0		0	209	stitch
BRD-A04020513	l-buthionine-sulfoximine	RGS2	5997	223	0		0	200	stitch
BRD-A04020513	l-buthionine-sulfoximine	MYBL2	4605	135	0		0	193	stitch
BRD-A04020513	l-buthionine-sulfoximine	RAD51C	5889	549	0		0	176	stitch
BRD-A04020513	l-buthionine-sulfoximine	HDAC2	3066	155	0		0	166	stitch
BRD-A04020513	l-buthionine-sulfoximine	PNKP	11284	909	0		0	156	stitch
BRD-A04020513	l-buthionine-sulfoximine	CYCS	54205	621	0		0	150	stitch
BRD-A04308630	genipin	HMOX1	3162	413	0		0	840	stitch_high
BRD-A04308630	genipin	MMP1	4312	461	0		0	800	stitch_high
BRD-A04308630	genipin	STAT3	6774	626	0		0	800	stitch_high
BRD-A04308630	genipin	CASP3	836	284	0		0	700	stitch_high
BRD-A04308630	genipin	NOS3	4846	536	0		0	613	stitch
BRD-A04308630	genipin	PPIC	5480	465	0		0	393	stitch
BRD-A04308630	genipin	NFE2L2	4780	66	0		0	177	stitch
BRD-A04308630	genipin	FZD1	8321	458	0		0	161	stitch
BRD-A04308630	genipin	FZD7	8324	417	0		0	161	stitch
BRD-A04308630	genipin	BAX	581	599	0		0	150	stitch
BRD-A04327189	synephrine	DECR1	1666	233	0		0	266	stitch
BRD-A04327189	synephrine	PECR	55825	946	0		0	266	stitch
BRD-A04327189	synephrine	MYBL2	4605	135	0		0	229	stitch
BRD-A04327189	synephrine	HERPUD1	9709	814	0		0	184	stitch
BRD-A04327189	synephrine	ADRB2	154	553	0		0	178	stitch
BRD-A04327189	synephrine	CXCR4	7852	710	0		0	152	stitch
BRD-A04327189	synephrine	TBXA2R	6915	970	0		0	152	stitch
BRD-A04327189	synephrine	CBR1	873	644	0		0	151	stitch
BRD-A04327189	synephrine	HSD17B11	51170	843	0		0	151	stitch
BRD-A04327189	synephrine	CBR3	874	522	0		0	151	stitch
BRD-A04352665	maraviroc	CXCR4	7852	710	0		0	485	stitch
BRD-A04352665	maraviroc	PDHX	8050	330	0		0	317	stitch
BRD-A04352665	maraviroc	MYBL2	4605	135	0		0	234	stitch
BRD-A04352665	maraviroc	HSPA4	3308	699	0		0	168	stitch
BRD-A04438777	SKF-82958	FOS	2353	642	0		0	837	stitch_high
BRD-A04438777	SKF-82958	CXCR4	7852	710	0		0	246	stitch
