gene_idx	symbol	entrez	ensp
0	DDR1	780	9606.ENSP00000427552
1	PAX8	7849	9606.ENSP00000263334
2	RPS5	6193	9606.ENSP00000472985
3	ABCF1	23	9606.ENSP00000313603
4	SPAG7	9552	9606.ENSP00000206020
5	RHOA	387	9606.ENSP00000400175
6	RNPS1	10921	9606.ENSP00000457723
7	SMNDC1	10285	9606.ENSP00000358616
8	ATP6V0B	533	9606.ENSP00000434729
9	RPS6	6194	9606.ENSP00000369757
10	USP22	23326	9606.ENSP00000261497
11	APP	351	9606.ENSP00000284981
12	CLTC	1213	9606.ENSP00000479606
13	MLEC	9761	9606.ENSP00000228506
14	CSRP1	1465	9606.ENSP00000356275
15	CALM3	808	9606.ENSP00000291295
16	PTPRF	5792	9606.ENSP00000353030
17	DNAJB1	3337	9606.ENSP00000254322
18	XBP1	7494	9606.ENSP00000216037
19	GRN	2896	9606.ENSP00000053867
20	HK1	3098	9606.ENSP00000494664
21	KDELR2	11014	9606.ENSP00000258739
22	SKP1	6500	9606.ENSP00000231487
23	CAPN1	823	9606.ENSP00000431984
24	CALU	813	9606.ENSP00000438248
25	CTSD	1509	9606.ENSP00000236671
26	MAT2A	4144	9606.ENSP00000303147
27	STMN1	3925	9606.ENSP00000410452
28	ECH1	1891	9606.ENSP00000221418
29	IQGAP1	8826	9606.ENSP00000268182
30	HSPA1A	3303	9606.ENSP00000364802
31	HSPD1	3329	9606.ENSP00000340019
32	CIRBP	1153	9606.ENSP00000466025
33	PSME1	5720	9606.ENSP00000372155
34	PAFAH1B1	5048	9606.ENSP00000380378
35	HYOU1	10525	9606.ENSP00000480150
36	PSMD2	5708	9606.ENSP00000310129
37	EPRS	2058	
38	PSMD4	5710	9606.ENSP00000357876
39	PGAM1	5223	9606.ENSP00000359991
40	STAT1	6772	9606.ENSP00000354394
41	FKBP4	2288	9606.ENSP00000001008
42	KTN1	3895	9606.ENSP00000378725
43	TMED10	10972	9606.ENSP00000303145
44	ALDOA	226	9606.ENSP00000496166
45	TSPAN3	10099	9606.ENSP00000267970
46	GNAS	2778	9606.ENSP00000360141
47	HIF1A	3091	9606.ENSP00000437955
48	AARS	16	
49	RPN1	6184	9606.ENSP00000296255
50	PAICS	10606	9606.ENSP00000382595
51	BLCAP	10904	9606.ENSP00000397172
52	HADH	3033	9606.ENSP00000474560
53	GNAI2	2771	9606.ENSP00000312999
54	PSMF1	9491	9606.ENSP00000338039
55	MYL9	10398	9606.ENSP00000279022
56	MMP2	4313	9606.ENSP00000219070
57	SMARCC1	6599	9606.ENSP00000254480
58	TM9SF2	9375	9606.ENSP00000493515
59	PIP4K2B	8396	9606.ENSP00000482548
60	PXN	5829	9606.ENSP00000267257
61	COPB2	9276	9606.ENSP00000329419
62	PFKL	5211	9606.ENSP00000269848
63	PGRMC1	10857	9606.ENSP00000217971
64	ITGB5	3693	9606.ENSP00000296181
65	PLP2	5355	9606.ENSP00000365505
66	NFE2L2	4780	9606.ENSP00000380252
67	MBNL1	4154	9606.ENSP00000282486
68	NMT1	4836	9606.ENSP00000468424
69	BHLHE40	8553	9606.ENSP00000256495
70	TERF2IP	54386	9606.ENSP00000300086
71	FBXO7	25793	9606.ENSP00000266087
72	HTRA1	5654	9606.ENSP00000357980
73	LRPAP1	4043	9606.ENSP00000497444
74	CREG1	8804	9606.ENSP00000359540
75	PCNA	5111	9606.ENSP00000368458
76	LGMN	5641	9606.ENSP00000376911
77	ILK	3611	9606.ENSP00000379975
78	ATP1B1	481	9606.ENSP00000356790
79	SYPL1	6856	9606.ENSP00000011473
80	TXNRD1	7296	9606.ENSP00000434516
81	NUDCD3	23386	9606.ENSP00000347626
82	TOP2A	7153	9606.ENSP00000411532
83	STK25	10494	9606.ENSP00000325748
84	EBNA1BP2	10969	9606.ENSP00000407323
85	ARHGEF12	23365	9606.ENSP00000380942
86	SCP2	6342	9606.ENSP00000360569
87	YME1L1	10730	9606.ENSP00000318480
88	TMEM109	79073	9606.ENSP00000227525
89	TPD52L2	7165	9606.ENSP00000217121
90	CRTAP	10491	9606.ENSP00000323696
91	TRAP1	10131	9606.ENSP00000246957
92	IGF2R	3482	9606.ENSP00000349437
93	PHGDH	26227	9606.ENSP00000493382
94	LRP10	26020	9606.ENSP00000352601
95	SOX4	6659	9606.ENSP00000244745
96	CAT	847	9606.ENSP00000241052
97	RHEB	6009	9606.ENSP00000262187
98	MAPKAPK2	9261	9606.ENSP00000356070
99	SCRN1	9805	9606.ENSP00000388942
100	JUN	3725	9606.ENSP00000360266
101	SHC1	6464	9606.ENSP00000401303
102	SQSTM1	8878	9606.ENSP00000374455
103	PRCP	5547	9606.ENSP00000377055
104	USP7	7874	9606.ENSP00000343535
105	NFKBIA	4792	9606.ENSP00000216797
106	G3BP1	10146	9606.ENSP00000377681
107	TOMM70A	9868	
108	RPA1	6117	9606.ENSP00000254719
109	ZFP36	7538	9606.ENSP00000471239
110	DUSP3	1845	9606.ENSP00000226004
111	KDM5B	10765	9606.ENSP00000356233
112	MCM3	4172	9606.ENSP00000480987
113	CLIC4	25932	9606.ENSP00000363500
114	CLSTN1	22883	9606.ENSP00000366513
