pert_id	pert_iname	pubchem_cid	stitch_chemical	ensp	gene_symbol	entrez	gene_idx	combined_score
BRD-A01320529	salmeterol	5152	CIDm00005152	9606.ENSP00000305372	ADRB2	154	553	999
BRD-A01320529	salmeterol	5152	CIDs00005152	9606.ENSP00000305372	ADRB2	154	553	999
BRD-A11170096	pravastatin	4889	CIDm00004889	9606.ENSP00000287936	HMGCR	3156	244	999
BRD-A44780397	mifepristone	4196	CIDm00004196	9606.ENSP00000231509	NR3C1	2908	807	999
BRD-A73635141	hydrocortisone	3640	CIDm00003640	9606.ENSP00000231509	NR3C1	2908	807	999
BRD-A88254928	salbutamol	2083	CIDm00002083	9606.ENSP00000305372	ADRB2	154	553	999
BRD-A88254928	salbutamol	2083	CIDs00002083	9606.ENSP00000305372	ADRB2	154	553	999
BRD-K09416995	lovastatin	53232	CIDs00053232	9606.ENSP00000287936	HMGCR	3156	244	999
BRD-K11433652	aspirin	2244	CIDm00002244	9606.ENSP00000356438	PTGS2	5743	482	999
BRD-K11433652	aspirin	2244	CIDs00002244	9606.ENSP00000356438	PTGS2	5743	482	999
BRD-K19687926	lapatinib	208908	CIDm00208908	9606.ENSP00000269571	ERBB2	2064	810	999
BRD-K19687926	lapatinib	208908	CIDm00208908	9606.ENSP00000275493	EGFR	1956	173	999
BRD-K19687926	lapatinib	208908	CIDs00208908	9606.ENSP00000269571	ERBB2	2064	810	999
BRD-K19687926	lapatinib	208908	CIDs00208908	9606.ENSP00000275493	EGFR	1956	173	999
BRD-K37270826	mifepristone	55245	CIDs00055245	9606.ENSP00000231509	NR3C1	2908	807	999
BRD-K49328571	dasatinib	3062316	CIDm03062316	9606.ENSP00000361423	ABL1	25	192	999
BRD-K49328571	dasatinib	3062316	CIDs03062316	9606.ENSP00000361423	ABL1	25	192	999
BRD-K60511616	pravastatin	54687	CIDs00054687	9606.ENSP00000287936	HMGCR	3156	244	999
BRD-K64052750	gefitinib	123631	CIDm00123631	9606.ENSP00000275493	EGFR	1956	173	999
