cell_line	mark	total_ids_checked	clean_single_cvcl	zero_cvcl	multi_cvcl_ids	all_distinct_cvcl_accessions	dominant_cvcl	dominant_count	contaminating_extra_cvcl	contaminated
A375	ATAC-seq	2	2	0	0	['CVCL:0132']	CVCL:0132	2	[]	False
A375	H3K27ac	6	6	0	0	['CVCL:0132']	CVCL:0132	6	[]	False
AGS	H3K27ac	2	1	0	1	['CVCL:0139', 'CVCL:E025']	CVCL:0139	2	['PAE-iPS-4 (CVCL:E025)']	True
ASC	ATAC-seq	13	0	13	0	[]	none	0	[]	False
CD34	ATAC-seq	20	0	20	0	[]	none	0	[]	False
CD34	H3K27ac	4	0	4	0	[]	none	0	[]	False
CD34	H3K27me3	14	0	14	0	[]	none	0	[]	False
H1299	H3K27ac	5	0	0	5	['CVCL:0060', 'CVCL:XB25']	CVCL:XB25	5	['NCI-H1299 (CVCL:0060)']	True
H1299	H3K27me3	11	6	0	5	['CVCL:0060', 'CVCL:XB25']	CVCL:0060	11	['NCI-H1299-EGFP (CVCL:XB25)']	True
HCC15	H3K27ac	4	4	0	0	['CVCL:1256']	CVCL:1256	4	[]	False
HCC15	H3K27me3	4	4	0	0	['CVCL:1256']	CVCL:1256	4	[]	False
HEK293T	ATAC-seq	53	52	0	1	['CVCL:0023', 'CVCL:0063', 'CVCL:0120', 'CVCL:0594']	CVCL:0063	53	['NIH 3T3 (CVCL:0594)', 'A-549 (CVCL:0023)', '3T3-Swiss albino (CVCL:0120)']	True
HEK293T	H3K27ac	3	1	0	2	['CVCL:0045', 'CVCL:0063', 'CVCL:M624']	CVCL:0063	3	['HEK (CVCL:M624)', 'HEK293 (CVCL:0045)']	True
HEK293T	H3K27me3	4	4	0	0	['CVCL:0063']	CVCL:0063	4	[]	False
HELA	ATAC-seq	20	14	1	5	['CVCL:0030', 'CVCL:0058']	CVCL:0030	19	['HeLa S3 (CVCL:0058)']	True
HELA	H3K27ac	26	18	0	8	['CVCL:0030', 'CVCL:0058', 'CVCL:1922']	CVCL:0030	26	['HeLa S3 (CVCL:0058)', 'HeLa Kyoto (CVCL:1922)']	True
HELA	H3K27me3	13	10	0	3	['CVCL:0030', 'CVCL:0058', 'CVCL:1922']	CVCL:0030	13	['HeLa S3 (CVCL:0058)', 'HeLa Kyoto (CVCL:1922)']	True
HL60	ATAC-seq	9	8	0	1	['CVCL:0002', 'CVCL:7526']	CVCL:0002	9	['GM12878 (CVCL:7526)']	True
HME1	ATAC-seq	12	12	0	0	['CVCL:3383']	CVCL:3383	12	[]	False
HS27A	ATAC-seq	1	1	0	0	['CVCL:3719']	CVCL:3719	1	[]	False
HT29	ATAC-seq	1	0	0	1	['CVCL:0320', 'CVCL:A8EZ']	CVCL:0320	1	['HT29 (CVCL:A8EZ)']	True
HT29	H3K27ac	12	0	0	12	['CVCL:0320', 'CVCL:A8EZ']	CVCL:0320	12	['HT29 (CVCL:A8EZ)']	True
HUH7	ATAC-seq	2	2	0	0	['CVCL:0336', 'CVCL:7927']	CVCL:0336	1	['Huh-7.5 (CVCL:7927)']	True
HUH7	H3K27ac	4	4	0	0	['CVCL:0336']	CVCL:0336	4	[]	False
HUVEC	ATAC-seq	6	6	0	0	['CVCL:2959']	CVCL:2959	6	[]	False
HUVEC	H3K27ac	18	18	0	0	['CVCL:2959']	CVCL:2959	18	[]	False
HUVEC	H3K27me3	3	3	0	0	['CVCL:2959']	CVCL:2959	3	[]	False
JURKAT	ATAC-seq	14	14	0	0	['CVCL:0065']	CVCL:0065	14	[]	False
JURKAT	H3K27ac	10	9	0	1	['CVCL:0065', 'CVCL:1667']	CVCL:0065	10	['RPMI-8402 (CVCL:1667)']	True
JURKAT	H3K27me3	12	9	0	3	['CVCL:0065', 'CVCL:0367', 'CVCL:F736', 'CVCL:VQ63']	CVCL:0065	12	['TS/A-pc (CVCL:VQ63)', 'TS/A (CVCL:F736)', 'Jurkat E6.1 (CVCL:0367)']	True
LNCAP	ATAC-seq	50	45	0	5	['CVCL:0395', 'CVCL:D142', 'CVCL:F736', 'CVCL:VQ63', 'CVCL:ZC87']	CVCL:0395	48	['TS/A-pc (CVCL:VQ63)', 'TS/A (CVCL:F736)', '1F5 (CVCL:D142)', 'LNCaP-95 (CVCL:ZC87)']	True
LNCAP	H3K27ac	42	19	0	23	['CVCL:0395', 'CVCL:4784', 'CVCL:4793']	CVCL:0395	36	['LNCaP-abl (CVCL:4793)', 'LNCaP C4-2B (CVCL:4784)']	True
LNCAP	H3K27me3	18	12	2	4	['CVCL:0395', 'CVCL:4793']	CVCL:0395	16	['LNCaP-abl (CVCL:4793)']	True
LOVO	ATAC-seq	1	1	0	0	['CVCL:0399']	CVCL:0399	1	[]	False
LOVO	H3K27ac	1	1	0	0	['CVCL:0399']	CVCL:0399	1	[]	False
MCF10A	ATAC-seq	24	24	0	0	['CVCL:0598']	CVCL:0598	24	[]	False
MCF10A	H3K27ac	34	34	0	0	['CVCL:0598']	CVCL:0598	34	[]	False
MCF10A	H3K27me3	16	14	0	2	['CVCL:0598', 'CVCL:E778']	CVCL:0598	16	['MLF (CVCL:E778)']	True
MDAMB231	ATAC-seq	16	0	0	16	['CVCL:0062', 'CVCL:L524']	CVCL:L524	16	['MDA-MB-231 (CVCL:0062)']	True
MDAMB231	H3K27ac	22	13	0	9	['CVCL:0031', 'CVCL:0062', 'CVCL:L524']	CVCL:0062	22	['Hybridoma 231 (CVCL:L524)', 'MCF-7 (CVCL:0031)']	True
MDAMB231	H3K27me3	18	4	0	14	['CVCL:0031', 'CVCL:0062', 'CVCL:L524']	CVCL:0062	18	['Hybridoma 231 (CVCL:L524)', 'MCF-7 (CVCL:0031)']	True
NEU	ATAC-seq	2	0	2	0	[]	none	0	[]	False
NPC	H3K27ac	6	5	0	1	['CVCL:7047', 'CVCL:7084', 'CVCL:9771']	CVCL:9771	5	['NPC/HK1 (CVCL:7084)', 'HK-1 (CVCL:7047)']	True
NPC	H3K27me3	4	4	0	0	['CVCL:9771']	CVCL:9771	4	[]	False
PHH	H3K27me3	2	0	2	0	[]	none	0	[]	False
RKO	ATAC-seq	1	1	0	0	['CVCL:0504']	CVCL:0504	1	[]	False
RKO	H3K27ac	1	1	0	0	['CVCL:0504']	CVCL:0504	1	[]	False
RMGI	H3K27ac	3	3	0	0	['CVCL:1662']	CVCL:1662	3	[]	False
SKBR3	ATAC-seq	3	3	0	0	['CVCL:0033']	CVCL:0033	3	[]	False
