cell_line	mark	total_ids_checked	dominant_cvcl_raw_count	dominant_count	corrected_dominant_cvcl	corrected_dominant_score	all_distinct_cvcl_accessions	contaminating_extra_cvcl	classification	evidence	needs_overseer_decision
A375	ATAC-seq	2	CVCL:0132	2	CVCL:0132	1.994	['CVCL:0132']	[]	METADATA_ARTIFACT	Single CVCL accession — no conflict	False
A375	H3K27ac	6	CVCL:0132	6	CVCL:0132	5.493	['CVCL:0132']	[]	METADATA_ARTIFACT	Single CVCL accession — no conflict	False
AGS	H3K27ac	2	CVCL:0139	2	CVCL:0139	1.817	['CVCL:0139', 'CVCL:E025']	['PAE-iPS-4 (CVCL:E025)']	METADATA_ARTIFACT	PAE-iPS-4 (CVCL:E025): iPSC with 'Cancer' Cellosaurus synonym — known parser false-positive	False
ASC	ATAC-seq	13	none	0	none	0.0	[]	[]	METADATA_ARTIFACT	No CVCL ontology entries — zero-CVCL row	False
CD34	ATAC-seq	20	none	0	none	0.0	[]	[]	METADATA_ARTIFACT	No CVCL ontology entries — zero-CVCL row	False
CD34	H3K27ac	4	none	0	none	0.0	[]	[]	METADATA_ARTIFACT	No CVCL ontology entries — zero-CVCL row	False
CD34	H3K27me3	14	none	0	none	0.0	[]	[]	METADATA_ARTIFACT	No CVCL ontology entries — zero-CVCL row	False
H1299	H3K27ac	5	CVCL:XB25	5	CVCL:XB25	3.715	['CVCL:0060', 'CVCL:XB25']	['NCI-H1299 (CVCL:0060)']	METADATA_ARTIFACT	NCI-H1299 (CVCL:0060): dominant CVCL:XB25 has CVCL:0060 in its ancestry at hop 1 (parent/ancestor co-tagged with subclone dominant)	False
H1299	H3K27me3	11	CVCL:0060	11	CVCL:0060	9.266	['CVCL:0060', 'CVCL:XB25']	['NCI-H1299-EGFP (CVCL:XB25)']	METADATA_ARTIFACT	NCI-H1299-EGFP (CVCL:XB25): dominant CVCL:0060 found in ancestry chain at hop 1 (subclone/descendant of dominant)	False
HCC15	H3K27ac	4	CVCL:1256	4	CVCL:1256	3.996	['CVCL:1256']	[]	METADATA_ARTIFACT	Single CVCL accession — no conflict	False
HCC15	H3K27me3	4	CVCL:1256	4	CVCL:1256	3.996	['CVCL:1256']	[]	METADATA_ARTIFACT	Single CVCL accession — no conflict	False
HEK293T	ATAC-seq	53	CVCL:0063	53	CVCL:0063	52.745	['CVCL:0023', 'CVCL:0063', 'CVCL:0120', 'CVCL:0594']	['A-549 (CVCL:0023)', '3T3-Swiss albino (CVCL:0120)', 'NIH 3T3 (CVCL:0594)']	GENUINE_CONTAMINATION	A-549 (CVCL:0023) (category=Cancer cell line): independently established; no derived-from ancestry relationship to dominant CVCL:0063; score 0.997 vs dominant 52.745; 3T3-Swiss albino (CVCL:0120) (category=Spontaneously immortalized cell line): independently established; no derived-from ancestry relationship to dominant CVCL:0063; score 0.999 vs dominant 52.745; NIH 3T3 (CVCL:0594) (category=Spontaneously immortalized cell line): independently established; no derived-from ancestry relationship to dominant CVCL:0063; score 0.999 vs dominant 52.745	True
HEK293T	H3K27ac	3	CVCL:0063	3	CVCL:0063	2.606	['CVCL:0045', 'CVCL:0063', 'CVCL:M624']	['HEK293 (CVCL:0045)', 'HEK (CVCL:M624)']	GENUINE_CONTAMINATION	HEK (CVCL:M624) (category=Cancer cell line): independently established; no derived-from ancestry relationship to dominant CVCL:0063; score 1.689 vs dominant 2.606; HEK293 (CVCL:0045): dominant CVCL:0063 has CVCL:0045 in its ancestry at hop 1 (parent/ancestor co-tagged with subclone dominant)	True
HEK293T	H3K27me3	4	CVCL:0063	4	CVCL:0063	3.983	['CVCL:0063']	[]	METADATA_ARTIFACT	Single CVCL accession — no conflict	False
HELA	ATAC-seq	20	CVCL:0030	19	CVCL:0030	16.56	['CVCL:0030', 'CVCL:0058']	['HeLa S3 (CVCL:0058)']	METADATA_ARTIFACT	HeLa S3 (CVCL:0058): dominant CVCL:0030 found in ancestry chain at hop 1 (subclone/descendant of dominant)	False
HELA	H3K27ac	26	CVCL:0030	26	CVCL:0030	25.122	['CVCL:0030', 'CVCL:0058', 'CVCL:1922']	['HeLa S3 (CVCL:0058)', 'HeLa Kyoto (CVCL:1922)']	METADATA_ARTIFACT	HeLa S3 (CVCL:0058): dominant CVCL:0030 found in ancestry chain at hop 1 (subclone/descendant of dominant); HeLa Kyoto (CVCL:1922): dominant CVCL:0030 found in ancestry chain at hop 1 (subclone/descendant of dominant)	False
HELA	H3K27me3	13	CVCL:0030	13	CVCL:0030	12.682	['CVCL:0030', 'CVCL:0058', 'CVCL:1922']	['HeLa Kyoto (CVCL:1922)', 'HeLa S3 (CVCL:0058)']	METADATA_ARTIFACT	HeLa Kyoto (CVCL:1922): dominant CVCL:0030 found in ancestry chain at hop 1 (subclone/descendant of dominant); HeLa S3 (CVCL:0058): dominant CVCL:0030 found in ancestry chain at hop 1 (subclone/descendant of dominant)	False
