lincs_cell_id	mark	source_used	genome_build	notes
A375	ATAC-seq	cistrome	hg38	Cistrome sample ID(s): 78261,78465
A375	H3K27ac	cistrome	hg38	Cistrome sample ID(s): 61838,69519,81762,83677,87813,105159
A375	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
A549	ATAC-seq	encode	GRCh38	ENCODE Experiment(s): ENCSR265ZXX,ENCSR139OYS,ENCSR288YMH,ENCSR074AHH,ENCSR220ASC,ENCSR032RGS
A549	H3K27ac	encode	GRCh38	ENCODE Experiment(s): ENCSR000AVF,ENCSR325VCV,ENCSR778NQS,ENCSR480OHP,ENCSR864KVZ,ENCSR340NAL,ENCSR614NPG,ENCSR569IBY,ENCSR435JKM,ENCSR000AUI,ENCSR242TBH,ENCSR543ZVZ,ENCSR783SNV,ENCSR250EHC,ENCSR027BPE,ENCSR734FLK,ENCSR102XUM,ENCSR180YHA,ENCSR350EFV,ENCSR716XDB
A549	H3K27me3	encode	GRCh38	ENCODE Experiment(s): ENCSR000AUK,ENCSR000AUJ
A673	ATAC-seq	epimap	hg19	EpiMap imputed track, biosample ID: BSS00035 [perturb=null confirmed]
A673	H3K27ac	encode	GRCh38	ENCODE Experiment(s): ENCSR714TJD
A673	H3K27me3	encode	GRCh38	ENCODE Experiment(s): ENCSR747BYL
AGS	ATAC-seq	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
AGS	H3K27ac	cistrome	hg38	Cistrome sample ID(s): 61989,81493
AGS	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
ASC	ATAC-seq	cistrome	hg38	Cistrome sample ID(s): 90459,90460,90461,93235,93236,93237,93238,93239,93240,93241,93242,93243,93244
ASC	H3K27ac	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
ASC	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
ASC.C	ATAC-seq	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
ASC.C	H3K27ac	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
ASC.C	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
BT20	ATAC-seq	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
BT20	H3K27ac	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
BT20	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
