lincs_cell_id	assay_target	status	resolution_tier	assay_used	is_primary_assay	source_used	genome_build	identity_confidence	contamination_status	model_confidence_flag	sample_ids_used	sample_ids_dropped	notes
A375	ATAC-seq	resolved	direct_measurement	ATAC-seq	True	cistrome	hg38	name_verified	clean		78261,78465		Cistrome sample ID(s): 78261,78465
A375	H3K27ac	resolved	direct_measurement	H3K27ac	True	cistrome	hg38	name_verified	clean		61838,69519,81762,83677,87813,105159		Cistrome sample ID(s): 61838,69519,81762,83677,87813,105159
A375	H3K27me3	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
A549	ATAC-seq	resolved	direct_measurement	ATAC-seq	True	encode	GRCh38	name_verified	clean				ENCODE Experiment(s): ENCSR265ZXX,ENCSR139OYS,ENCSR288YMH,ENCSR074AHH,ENCSR220ASC,ENCSR032RGS
A549	H3K27ac	resolved	direct_measurement	H3K27ac	True	encode	GRCh38	name_verified	clean				ENCODE Experiment(s): ENCSR000AVF,ENCSR325VCV,ENCSR778NQS,ENCSR480OHP,ENCSR864KVZ,ENCSR340NAL,ENCSR614NPG,ENCSR569IBY,ENCSR435JKM,ENCSR000AUI,ENCSR242TBH,ENCSR543ZVZ,ENCSR783SNV,ENCSR250EHC,ENCSR027BPE,ENCSR734FLK,ENCSR102XUM,ENCSR180YHA,ENCSR350EFV,ENCSR716XDB
A549	H3K27me3	resolved	direct_measurement	H3K27me3	True	encode	GRCh38	name_verified	clean				ENCODE Experiment(s): ENCSR000AUK,ENCSR000AUJ
A673	ATAC-seq	resolved	direct_measurement	ATAC-seq	True	epimap	hg19	name_verified	clean				EpiMap imputed track, biosample ID: BSS00035 [perturb=null confirmed]
A673	H3K27ac	resolved	direct_measurement	H3K27ac	True	encode	GRCh38	name_verified	clean				ENCODE Experiment(s): ENCSR714TJD
A673	H3K27me3	resolved	direct_measurement	H3K27me3	True	encode	GRCh38	name_verified	clean				ENCODE Experiment(s): ENCSR747BYL
AGS	ATAC-seq	resolved	substitute_assay	H3K4me3 ChIP-seq	False	cistrome	hg38	name_verified	clean	substitute: H3K4me3 ChIP-seq used for missing ATAC-seq	89057		Cistrome sample ID(s): 89057
AGS	H3K27ac	resolved	direct_measurement	H3K27ac	True	cistrome	hg38	name_verified	clean		61989,81493		Cistrome sample ID(s): 61989,81493
AGS	H3K27me3	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
ASC	ATAC-seq	resolved	direct_measurement	ATAC-seq	True	cistrome	hg38	name_verified	clean		90459,90460,90461,93235,93236,93237,93238,93239,93240,93241,93242,93243,93244		Cistrome sample ID(s): 90459,90460,90461,93235,93236,93237,93238,93239,93240,93241,93242,93243,93244
ASC	H3K27ac	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
ASC	H3K27me3	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
