pathway_id	pathway_name	n_landmark_genes	landmark_gene_symbols
R-HSA-109581	Apoptosis	33	AKT1,BAD,BAX,BCL2,BID,BIRC2,CASP3,CASP7,CDKN2A,CFLAR,CYCS,DFFA,DFFB,DNM1L,DSG2,FAS,NMT1,PMAIP1,PPP1R13B,PRKCD,PRKCQ,PSMD2,PTK2,SATB1,SFN,SPTAN1,STAT3,TFDP1,TICAM1,TJP1,TLR4,TP53,TP53BP2
R-HSA-109582	Hemostasis	66	ABHD6,ABL1,AKT1,ALDOA,APP,ATP1B1,CALU,CD44,CD58,CDC42,CDK2,CENPE,COL1A1,CRK,CSK,EGF,FYN,GATA2,GATA3,GNA11,GNA15,GNAI1,GNAI2,GNAS,GNB5,GPC1,GRB7,HDAC2,HMG20B,KIF20A,KIF2C,KIF5C,LYN,MIF,MMP1,NOS3,NRAS,PDGFA,PIK3CA,PIK3R3,PLA2G4A,PPP2R5A,PPP2R5E,PRKACA,PRKCD,PRKCH,PRKCQ,PROS1,PTK2,PTPN1,PTPN6,RAC2,RAD51C,RHOA,SCCPDH,SERPINE1,SHC1,SRC,STX4,STXBP2,SYK,TBXA2R,TGFB3,TP53,TUBB6,VAV3
R-HSA-109606	Intrinsic Pathway for Apoptosis	17	AKT1,BAD,BAX,BCL2,BID,CASP3,CASP7,CDKN2A,CYCS,NMT1,PMAIP1,PPP1R13B,SFN,STAT3,TFDP1,TP53,TP53BP2
R-HSA-109704	PI3K Cascade	7	FGFR2,FGFR4,FRS2,PIK3C3,PIK3CA,PIK3R4,TRIB3
R-HSA-110312	Translesion synthesis by REV1	6	PCNA,RFC2,RFC5,RPA1,RPA2,RPA3
R-HSA-110313	Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template	9	PCNA,POLD4,POLE2,RFC2,RFC5,RPA1,RPA2,RPA3,UBE2L6
R-HSA-110314	Recognition of DNA damage by PCNA-containing replication complex	9	PCNA,POLD4,POLE2,RFC2,RFC5,RPA1,RPA2,RPA3,USP1
R-HSA-110320	Translesion Synthesis by POLH	6	PCNA,RFC2,RFC5,RPA1,RPA2,RPA3
R-HSA-110373	Resolution of AP sites via the multiple-nucleotide patch replacement pathway	12	LIG1,PARP1,PARP2,PCNA,POLB,POLD4,POLE2,RFC2,RFC5,RPA1,RPA2,RPA3
R-HSA-111447	Activation of BAD and translocation to mitochondria	5	AKT1,BAD,BCL2,BID,SFN
