canonical_row	l1000_symbol	entrez_id	hgnc_symbol	resolved_via
0	DDR1	780	DDR1	same
1	PAX8	7849	PAX8	same
2	RPS5	6193	RPS5	same
3	ABCF1	23	ABCF1	same
4	SPAG7	9552	SPAG7	same
5	RHOA	387	RHOA	same
6	RNPS1	10921	RNPS1	same
7	SMNDC1	10285	SMNDC1	same
8	ATP6V0B	533	ATP6V0B	same
9	RPS6	6194	RPS6	same
10	USP22	23326	USP22	same
11	APP	351	APP	same
12	CLTC	1213	CLTC	same
13	MLEC	9761	MLEC	same
14	CSRP1	1465	CSRP1	same
15	CALM3	808	CALM3	same
16	PTPRF	5792	PTPRF	same
17	DNAJB1	3337	DNAJB1	same
18	XBP1	7494	XBP1	same
19	GRN	2896	GRN	same
20	HK1	3098	HK1	same
21	KDELR2	11014	KDELR2	same
22	SKP1	6500	SKP1	same
23	CAPN1	823	CAPN1	same
24	CALU	813	CALU	same
25	CTSD	1509	CTSD	same
26	MAT2A	4144	MAT2A	same
27	STMN1	3925	STMN1	same
28	ECH1	1891	ECH1	same
29	IQGAP1	8826	IQGAP1	same
30	HSPA1A	3303	HSPA1A	same
31	HSPD1	3329	HSPD1	same
32	CIRBP	1153	CIRBP	same
33	PSME1	5720	PSME1	same
34	PAFAH1B1	5048	PAFAH1B1	same
35	HYOU1	10525	HYOU1	same
36	PSMD2	5708	PSMD2	same
37	EPRS	2058	EPRS1	entrez
38	PSMD4	5710	PSMD4	same
39	PGAM1	5223	PGAM1	same
40	STAT1	6772	STAT1	same
41	FKBP4	2288	FKBP4	same
42	KTN1	3895	KTN1	same
43	TMED10	10972	TMED10	same
44	ALDOA	226	ALDOA	same
45	TSPAN3	10099	TSPAN3	same
46	GNAS	2778	GNAS	same
47	HIF1A	3091	HIF1A	same
48	AARS	16	AARS1	entrez
49	RPN1	6184	RPN1	same
50	PAICS	10606	PAICS	same
51	BLCAP	10904	BLCAP	same
52	HADH	3033	HADH	same
53	GNAI2	2771	GNAI2	same
54	PSMF1	9491	PSMF1	same
55	MYL9	10398	MYL9	same
56	MMP2	4313	MMP2	same
57	SMARCC1	6599	SMARCC1	same
58	TM9SF2	9375	TM9SF2	same
59	PIP4K2B	8396	PIP4K2B	same
60	PXN	5829	PXN	same
61	COPB2	9276	COPB2	same
62	PFKL	5211	PFKL	same
63	PGRMC1	10857	PGRMC1	same
64	ITGB5	3693	ITGB5	same
65	PLP2	5355	PLP2	same
66	NFE2L2	4780	NFE2L2	same
