source	term_id	term_name	n_landmark_genes	landmark_gene_symbols
GO:BP	GO:0000070	Mitotic Sister Chromatid Segregation	22	AKAP8L,BECN1,CCNB1,CENPE,CHEK2,CHMP4A,CHMP6,EML3,KIF14,KIF2C,NCAPD2,NUP62,NUSAP1,PLK1,PSRC1,RHOA,RRS1,SMC1A,SMC3,SMC4,TENT4A,ZW10
GO:BP	GO:0000079	Regulation Of Cyclin-Dependent Protein Serine/Threonine Kinase Activity	23	AKT1,CCNA1,CCNA2,CCNB1,CCNB2,CCND1,CCND3,CCNE2,CCNF,CCNH,CDC25A,CDK5R1,CDK7,CDKN1A,CDKN1B,CDKN2A,CEBPA,EGFR,GADD45A,MNAT1,PLK1,PSMD10,PSRC1
GO:BP	GO:0000082	G1/S Transition Of Mitotic Cell Cycle	13	CCND1,CCND3,CCNE2,CDC25A,CDK2,CDK4,CDK6,CDKN1A,CDKN1B,E2F2,EIF4EBP1,MYC,TFDP1
GO:BP	GO:0000086	G2/M Transition Of Mitotic Cell Cycle	12	ARPP19,AURKA,CCNA2,CCNB1,CDC25A,CDC25B,CDK1,CDK2,CHEK2,MELK,PLK1,UBE2A
GO:BP	GO:0000165	MAPK Cascade	16	CCL2,CDK1,DUSP6,EGF,IKBKB,IL1B,MAP2K5,MAP3K4,MAP4K4,MAPK13,MAPKAPK2,MEF2C,MYC,NRAS,PAK1,ZFP36
GO:BP	GO:0000209	Protein Polyubiquitination	17	BCL2,BIRC2,BLMH,BRCA1,DDB2,FBXO7,MYCBP2,RNF167,SKP1,STUB1,TRIM2,UBE2A,UBE2C,UBE2J1,UBE2L6,UBE3B,UBE3C
GO:BP	GO:0000302	Response To Reactive Oxygen Species	15	AKT1,APOE,CAT,EGFR,FOS,FYN,HIF1A,HMOX1,JUN,MAPK9,PTPRK,PXN,SQSTM1,STK25,TPM1
GO:BP	GO:0000377	RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile	10	CASC3,HSPA8,HTATSF1,LSM5,LSM6,PIN1,PPIE,PRPF4,RBM6,RNPS1
GO:BP	GO:0000398	mRNA Splicing, Via Spliceosome	11	CASC3,HSPA8,HTATSF1,LSM5,LSM6,PIN1,PPIE,PRPF4,PUF60,RBM6,RNPS1
GO:BP	GO:0000470	Maturation Of LSU-rRNA	1	RBM34
GO:BP	GO:0001510	RNA Methylation	2	RBM15B,TARBP1
GO:BP	GO:0001558	Regulation Of Cell Growth	32	ADAM10,AKT1,BCL2,BRCA1,CCDC85B,CDC42,CDKN1A,CDKN1B,CDKN2A,CGRRF1,DNAJB2,EGFR,EIF4G1,ERBB2,EXOSC4,HSPA1A,JADE2,KIF14,PAK4,PAK6,PRKCQ,PSMD10,PSRC1,RB1,RPS6KA1,SMAD3,SMARCA4,SOCS2,SUPV3L1,TMEM97,TP53,VGLL4
GO:BP	GO:0001819	Positive Regulation Of Cytokine Production	31	APP,ARHGEF2,BRCA1,C5,CD40,CD58,EGR1,G3BP1,GAPDH,GATA3,HIF1A,HMOX1,HSPA1A,HSPD1,IKBKE,IL1B,MALT1,MAPK13,MAPK9,PNP,PRKCQ,PTGS2,PTPRC,S100A13,SERPINE1,STAT3,SYK,TICAM1,TLR4,TMED10,XBP1
GO:BP	GO:0001932	Regulation Of Protein Phosphorylation	33	AKT1,APP,AURKB,AXIN1,BIRC5,BMP4,CCNA2,CCND1,CCND3,CD40,CDKN1A,CHP1,CRKL,DAXX,EGFR,EPHB2,ERBB2,FAS,FYN,GPER1,HSPB1,IGFBP3,IL1B,ILK,LYN,PAK1,PDGFA,PIK3R3,PIN1,PTK2,RALB,TERF2IP,TESK1
GO:BP	GO:0001933	Negative Regulation Of Protein Phosphorylation	27	AKT1,CALM3,CDKN1A,CHP1,CRKL,EIF4G1,EPHB2,HSPB1,IGFBP3,ITGB1BP1,LYN,MVP,NCK1,NCK2,PPARG,PRKAG2,PRKCD,PTPN6,PTPRC,RB1,SFN,SNCA,SPRED2,TERF2IP,TESK1,TRIB1,TRIB3
GO:BP	GO:0001934	Positive Regulation Of Protein Phosphorylation	47	AKT1,APP,ARHGEF2,AURKB,AXIN1,BIRC5,BMP4,CAB39,CALM3,CCNA2,CCND1,CCND3,CD40,CD44,CDKN1A,CENPE,CRKL,DAXX,EGF,EGFR,EIF4G1,ERBB2,FAS,GHR,GPER1,HDAC6,IL1B,ILK,IQGAP1,LYN,PAK1,PDGFA,PIK3R3,PIN1,PLK1,PPARG,PRKAG2,PTK2,PTK2B,PTPRC,RALB,SNCA,SRC,TESK1,TGFB3,TGFBR2,TP53
