cell_id	ATAC-seq	H3K27ac	H3K27me3
A375	1.00	1.00	0.00
A549	1.00	1.00	1.00
A673	1.00	1.00	1.00
AGS	0.60	1.00	0.00
ASC	1.00	0.00	0.00
ASC.C	0.70	0.00	0.00
BT20	0.00	0.00	0.00
CD34	1.00	1.00	1.00
CL34	0.00	0.00	0.00
CORL23	0.00	0.00	0.00
COV644	0.00	0.00	0.00
DV90	0.00	0.00	0.00
EFO27	0.00	0.00	0.00
FIBRNPC	0.00	0.00	0.00
H1299	0.60	1.00	0.30
HA1E	0.00	0.00	0.00
HCC15	0.00	1.00	1.00
HCC515	0.00	0.00	0.00
HCT116	1.00	1.00	1.00
HEC108	0.00	0.00	0.00
HEK293T	1.00	1.00	0.30
HELA	1.00	1.00	0.30
HEPG2	1.00	1.00	1.00
HL60	1.00	1.00	1.00
HME1	1.00	0.00	0.00
HS27A	1.00	0.50	0.50
HS578T	0.00	0.00	0.00
HT115	0.00	0.00	0.00
HT29	1.00	1.00	0.50
HUES3	0.40	0.40	0.40
HUH7	1.00	1.00	0.50
HUVEC	1.00	1.00	1.00
JHUEM2	0.00	0.00	0.00
JURKAT	1.00	1.00	1.00
LNCAP	1.00	1.00	1.00
LOVO	1.00	1.00	1.00
MCF10A	1.00	1.00	1.00
MCF7	1.00	1.00	1.00
MCH58	0.40	0.40	0.40
MDAMB231	1.00	1.00	0.30
MDST8	0.00	0.00	0.00
MNEU.E	0.00	0.00	0.00
NCIH1694	0.60	0.00	0.00
NCIH1836	0.00	0.00	0.00
NCIH2073	0.00	0.00	0.00
NCIH508	0.00	0.00	0.00
NCIH596	0.00	0.00	0.00
NEU	1.00	0.00	0.00
NKDBA	0.40	0.40	0.12
NOMO1	0.60	0.60	0.00
NPC	0.60	1.00	1.00
NPC.CAS9	0.70	0.70	0.70
NPC.TAK	0.70	0.70	0.70
OV7	0.00	0.00	0.00
PC3	1.00	1.00	1.00
PHH	0.60	0.00	0.30
PL21	0.00	0.00	0.00
RKO	1.00	1.00	1.00
RMGI	0.60	1.00	0.00
RMUGS	0.00	0.00	0.00
SKB	0.40	0.40	0.40
SKBR3	1.00	1.00	1.00
SKL	0.40	0.40	0.40
SKL.C	0.40	0.40	0.40
SKLU1	0.00	0.00	0.00
SKM1	0.60	1.00	1.00
SKMEL1	1.00	1.00	0.30
SKMEL28	0.60	0.60	0.30
SNGM	0.00	0.00	0.00
SNU1040	0.00	0.00	0.00
SNUC4	0.00	0.00	0.00
SNUC5	0.00	0.00	0.00
SW480	1.00	1.00	1.00
SW620	0.00	1.00	0.00
SW948	0.00	0.00	0.00
T3M10	0.00	0.00	0.00
THP1	1.00	1.00	0.00
TYKNU	0.00	0.00	0.00
U266	1.00	0.00	0.00
U937	1.00	0.60	0.00
VCAP	1.00	1.00	0.30
WSUDLCL2	0.00	0.00	1.00
YAPC	0.00	0.00	0.00
